"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 13, 2019","10,892.9","11,395.0","11,445.6","10,793.2","540.78K","-4.40%"
"Aug 12, 2019","11,394.2","11,505.1","11,508.6","11,267.3","391.08K","-1.07%"
"Aug 11, 2019","11,517.2","11,314.6","11,728.4","11,146.1","435.83K","1.79%"
"Aug 10, 2019","11,314.5","12,090.5","12,185.0","11,281.6","570.74K","-6.41%"
"Aug 09, 2019","12,089.8","12,190.0","12,225.3","11,885.0","558.72K","-0.84%"
"Aug 08, 2019","12,191.6","12,015.9","12,236.6","11,727.0","592.15K","1.48%"
"Aug 07, 2019","12,013.9","11,481.0","12,114.5","11,406.4","702.85K","4.64%"
"Aug 06, 2019","11,480.9","11,817.6","12,291.9","11,237.0","807.58K","-2.84%"
"Aug 05, 2019","11,816.8","10,934.8","11,922.3","10,934.8","769.63K","8.07%"
"Aug 04, 2019","10,934.6","10,816.1","11,017.7","10,568.8","585.71K","1.10%"
"Aug 03, 2019","10,815.7","10,519.9","10,893.6","10,504.5","508.75K","2.81%"
"Aug 02, 2019","10,520.1","10,380.5","10,664.8","10,330.5","578.29K","1.35%"
"Aug 01, 2019","10,380.0","10,081.9","10,459.0","9,890.6","608.37K","2.96%"
"Jul 31, 2019","10,082.0","9,580.3","10,100.0","9,562.4","589.84K","5.23%"
"Jul 30, 2019","9,580.7","9,580.0","9,703.0","9,483.0","511.51K","-0.00%"
"Jul 29, 2019","9,580.9","9,728.5","9,835.4","9,502.5","510.90K","-1.51%"
"Jul 28, 2019","9,727.8","9,491.1","9,798.5","9,401.1","518.59K","2.48%"
"Jul 27, 2019","9,492.1","9,830.4","10,232.3","9,389.1","661.89K","-3.45%"
"Jul 26, 2019","9,831.0","9,945.2","10,436.1","9,724.2","493.75K","-1.15%"
"Jul 25, 2019","9,945.3","9,804.7","10,203.5","9,776.6","545.85K","1.44%"
"Jul 24, 2019","9,804.3","9,887.2","9,945.3","9,584.0","639.54K","-0.85%"
"Jul 23, 2019","9,888.7","10,412.8","10,414.7","9,865.4","663.38K","-5.03%"
"Jul 22, 2019","10,412.5","10,715.1","10,806.3","10,196.5","591.27K","-2.82%"
"Jul 21, 2019","10,714.4","10,827.0","10,883.8","10,442.5","562.17K","-1.04%"
"Jul 20, 2019","10,826.7","10,571.9","11,155.6","10,462.0","668.94K","2.41%"
"Jul 19, 2019","10,571.5","10,651.6","10,758.4","10,160.7","727.79K","-0.75%"
"Jul 18, 2019","10,651.4","9,723.1","10,787.1","9,390.0","974.49K","9.55%"
"Jul 17, 2019","9,723.2","9,425.1","9,983.6","9,082.6","1.03M","3.17%"
"Jul 16, 2019","9,424.8","10,844.0","11,019.5","9,375.3","1.05M","-13.10%"
"Jul 15, 2019","10,845.9","10,199.9","11,064.7","9,885.4","956.52K","6.33%"
"Jul 14, 2019","10,200.1","11,364.3","11,448.7","10,128.9","840.76K","-10.25%"
"Jul 13, 2019","11,364.9","11,762.8","11,798.4","10,839.4","747.71K","-3.38%"
"Jul 12, 2019","11,762.1","11,343.7","11,881.4","11,109.8","738.17K","3.70%"
"Jul 11, 2019","11,342.3","12,111.6","12,111.6","11,029.0","943.13K","-6.34%"
"Jul 10, 2019","12,110.6","12,542.8","13,134.4","11,594.9","1.11M","-3.44%"
"Jul 09, 2019","12,541.5","12,250.6","12,772.9","12,111.2","847.84K","2.36%"
"Jul 08, 2019","12,252.6","11,415.8","12,332.3","11,304.8","695.60K","7.33%"
"Jul 07, 2019","11,415.9","11,267.9","11,524.6","11,108.1","601.93K","1.31%"
"Jul 06, 2019","11,268.0","10,969.8","11,650.2","10,967.9","688.96K","2.71%"
"Jul 05, 2019","10,970.2","11,159.7","11,381.8","10,810.3","772.67K","-1.73%"
"Jul 04, 2019","11,163.1","11,899.3","11,948.0","11,087.1","840.34K","-6.20%"
"Jul 03, 2019","11,900.8","10,835.9","11,931.8","10,835.9","998.73K","9.83%"
"Jul 02, 2019","10,835.9","10,615.5","10,923.5","9,728.5","1.12M","2.07%"
"Jul 01, 2019","10,616.6","10,821.4","11,254.5","10,041.6","1.04M","-1.87%"
"Jun 30, 2019","10,818.6","11,906.0","12,179.3","10,765.4","880.77K","-9.14%"
"Jun 29, 2019","11,906.5","12,408.0","12,422.9","11,490.8","834.62K","-4.05%"
"Jun 28, 2019","12,409.1","11,288.4","12,461.8","10,970.5","1.09M","9.93%"
"Jun 27, 2019","11,287.8","13,062.4","13,422.0","10,493.5","1.59M","-13.59%"
"Jun 26, 2019","13,063.8","11,811.6","13,929.8","11,747.3","1.48M","10.62%"
"Jun 25, 2019","11,809.9","11,046.6","11,833.9","11,033.7","781.09K","6.91%"
"Jun 24, 2019","11,046.4","10,897.3","11,114.4","10,622.6","566.96K","1.37%"
"Jun 23, 2019","10,897.1","10,721.5","11,361.3","10,557.8","683.79K","1.64%"
"Jun 22, 2019","10,721.7","10,178.1","11,160.5","10,031.3","1.09M","5.33%"
